review_tokens_stemmed,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
suka retinolnya somethinc,"{'classified_text': 'suka [4] retinolnya somethinc', 'tweet_text': ' suka retinolnya somethinc', 'sentence_score': ['suka [4] retinolnya somethinc'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",suka [4] retinolnya somethinc, suka retinolnya somethinc,['suka [4] retinolnya somethinc'],4,-1,positif
bagus warna pas coverage ok,"{'classified_text': 'bagus [4] warna pas coverage ok [1]', 'tweet_text': ' bagus warna pas coverage ok', 'sentence_score': ['bagus [4] warna pas coverage ok [1]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] warna pas coverage ok [1], bagus warna pas coverage ok,['bagus [4] warna pas coverage ok [1]'],4,-1,positif
cocok buat pakai bedak abu kulit kalo resap good,"{'classified_text': 'cocok [3] buat pakai bedak abu kulit kalo resap good', 'tweet_text': ' cocok buat pakai bedak abu kulit kalo resap good', 'sentence_score': ['cocok [3] buat pakai bedak abu kulit kalo resap good'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] buat pakai bedak abu kulit kalo resap good, cocok buat pakai bedak abu kulit kalo resap good,['cocok [3] buat pakai bedak abu kulit kalo resap good'],3,-1,positif
diamond enak banget pakai lemonade ku coba moga cocok,"{'classified_text': 'diamond enak [5] banget pakai lemonade ku coba moga cocok [3]', 'tweet_text': ' diamond enak banget pakai lemonade ku coba moga cocok', 'sentence_score': ['diamond enak [5] banget pakai lemonade ku coba moga cocok [3]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",diamond enak [5] banget pakai lemonade ku coba moga cocok [3], diamond enak banget pakai lemonade ku coba moga cocok,['diamond enak [5] banget pakai lemonade ku coba moga cocok [3]'],5,-1,positif
enak banget aplikatornya,"{'classified_text': 'enak [5] banget aplikatornya', 'tweet_text': ' enak banget aplikatornya', 'sentence_score': ['enak [5] banget aplikatornya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",enak [5] banget aplikatornya, enak banget aplikatornya,['enak [5] banget aplikatornya'],5,-1,positif
fast response on time delivery,"{'classified_text': 'fast response on time delivery', 'tweet_text': ' fast response on time delivery', 'sentence_score': ['fast response on time delivery'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",fast response on time delivery, fast response on time delivery,['fast response on time delivery'],1,-1,netral
coba moga cocok tqpi kalo serum sekian kali pakai cocok cocok kulit,"{'classified_text': 'coba moga cocok [3] tqpi kalo serum sekian kali pakai cocok [3] cocok [4] kulit', 'tweet_text': ' coba moga cocok tqpi kalo serum sekian kali pakai cocok cocok kulit', 'sentence_score': ['coba moga cocok [3] tqpi kalo serum sekian kali pakai cocok [3] cocok [4] kulit'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3] tqpi kalo serum sekian kali pakai cocok [3] cocok [4] kulit, coba moga cocok tqpi kalo serum sekian kali pakai cocok cocok kulit,['coba moga cocok [3] tqpi kalo serum sekian kali pakai cocok [3] cocok [4] kulit'],4,-1,positif
beli serum diamond cocok kulit ubah signifikan kulit enak beli,"{'classified_text': 'beli serum diamond cocok [3] kulit ubah signifikan kulit enak [4] beli', 'tweet_text': ' beli serum diamond cocok kulit ubah signifikan kulit enak beli', 'sentence_score': ['beli serum diamond cocok [3] kulit ubah signifikan kulit enak [4] beli'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",beli serum diamond cocok [3] kulit ubah signifikan kulit enak [4] beli, beli serum diamond cocok kulit ubah signifikan kulit enak beli,['beli serum diamond cocok [3] kulit ubah signifikan kulit enak [4] beli'],4,-1,positif
cocok pakai pelembab pakai siang malam suka packaging ml kontrol pakai banyak tempel muka,"{'classified_text': 'cocok [3] pakai pelembab pakai siang malam suka [4] packaging ml kontrol pakai banyak tempel muka', 'tweet_text': ' cocok pakai pelembab pakai siang malam suka packaging ml kontrol pakai banyak tempel muka', 'sentence_score': ['cocok [3] pakai pelembab pakai siang malam suka [4] packaging ml kontrol pakai banyak tempel muka'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] pakai pelembab pakai siang malam suka [4] packaging ml kontrol pakai banyak tempel muka, cocok pakai pelembab pakai siang malam suka packaging ml kontrol pakai banyak tempel muka,['cocok [3] pakai pelembab pakai siang malam suka [4] packaging ml kontrol pakai banyak tempel muka'],4,-1,positif
coba moga cocok kalo produk skin care kali coba cocok kulit,"{'classified_text': 'coba moga cocok [3] kalo produk skin care kali coba cocok [3] kulit', 'tweet_text': ' coba moga cocok kalo produk skin care kali coba cocok kulit', 'sentence_score': ['coba moga cocok [3] kalo produk skin care kali coba cocok [3] kulit'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3] kalo produk skin care kali coba cocok [3] kulit, coba moga cocok kalo produk skin care kali coba cocok kulit,['coba moga cocok [3] kalo produk skin care kali coba cocok [3] kulit'],3,-1,positif
bagus bikin bulu mata lentik awet,"{'classified_text': 'bagus [4] bikin bulu [-1] mata lentik awet', 'tweet_text': ' bagus bikin bulu mata lentik awet', 'sentence_score': ['bagus [4] bikin bulu [-1] mata lentik awet'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] bikin bulu [-1] mata lentik awet, bagus bikin bulu mata lentik awet,['bagus [4] bikin bulu [-1] mata lentik awet'],4,-1,positif
first coba moist moga cocok terima kasih min kasih bonus lucu sukses,"{'classified_text': 'first coba moist moga cocok [3] terima kasih [4] min kasih bonus [3] lucu [5] sukses [5]', 'tweet_text': ' first coba moist moga cocok terima kasih min kasih bonus lucu sukses', 'sentence_score': ['first coba moist moga cocok [3] terima kasih [4] min kasih bonus [3] lucu [5] sukses [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",first coba moist moga cocok [3] terima kasih [4] min kasih bonus [3] lucu [5] sukses [5], first coba moist moga cocok terima kasih min kasih bonus lucu sukses,['first coba moist moga cocok [3] terima kasih [4] min kasih bonus [3] lucu [5] sukses [5]'],5,-1,positif
best matte lipstick repeat order sekian kali hitung lipstick favourite,"{'classified_text': 'best matte lipstick repeat order sekian kali hitung lipstick favourite', 'tweet_text': ' best matte lipstick repeat order sekian kali hitung lipstick favourite', 'sentence_score': ['best matte lipstick repeat order sekian kali hitung lipstick favourite'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",best matte lipstick repeat order sekian kali hitung lipstick favourite, best matte lipstick repeat order sekian kali hitung lipstick favourite,['best matte lipstick repeat order sekian kali hitung lipstick favourite'],1,-1,netral
tipe kulit normal kulit kerut,"{'classified_text': 'tipe kulit normal [-1] kulit kerut [-2]', 'tweet_text': ' tipe kulit normal kulit kerut', 'sentence_score': ['tipe kulit normal [-1] kulit kerut [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit normal [-1] kulit kerut [-2], tipe kulit normal kulit kerut,['tipe kulit normal [-1] kulit kerut [-2]'],1,-2,negatif
alhamdulillah diskon terima kasih kak,"{'classified_text': 'alhamdulillah diskon terima kasih [4] kak', 'tweet_text': ' alhamdulillah diskon terima kasih kak', 'sentence_score': ['alhamdulillah diskon terima kasih [4] kak'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah diskon terima kasih [4] kak, alhamdulillah diskon terima kasih kak,['alhamdulillah diskon terima kasih [4] kak'],4,-1,positif
wangi soft beli,"{'classified_text': 'wangi soft beli', 'tweet_text': ' wangi soft beli', 'sentence_score': ['wangi soft beli'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",wangi soft beli, wangi soft beli,['wangi soft beli'],1,-1,netral
encer coba ya thanks,"{'classified_text': 'encer coba ya thanks', 'tweet_text': ' encer coba ya thanks', 'sentence_score': ['encer coba ya thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",encer coba ya thanks, encer coba ya thanks,['encer coba ya thanks'],1,-1,netral
tipe kulit sensitif tipe kulit kering,"{'classified_text': 'tipe kulit sensitif [-2] tipe kulit kering', 'tweet_text': ' tipe kulit sensitif tipe kulit kering', 'sentence_score': ['tipe kulit sensitif [-2] tipe kulit kering'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit sensitif [-2] tipe kulit kering, tipe kulit sensitif tipe kulit kering,['tipe kulit sensitif [-2] tipe kulit kering'],1,-2,negatif
tipe kulit sensitif,"{'classified_text': 'tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit sensitif', 'sentence_score': ['tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit sensitif [-2], tipe kulit sensitif,['tipe kulit sensitif [-2]'],1,-2,negatif
tipe kulit minyak kulit jerawat,"{'classified_text': 'tipe kulit minyak kulit jerawat', 'tweet_text': ' tipe kulit minyak kulit jerawat', 'sentence_score': ['tipe kulit minyak kulit jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak kulit jerawat, tipe kulit minyak kulit jerawat,['tipe kulit minyak kulit jerawat'],1,-1,netral
orisinal,"{'classified_text': 'orisinal', 'tweet_text': ' orisinal', 'sentence_score': ['orisinal'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",orisinal, orisinal,['orisinal'],1,-1,netral
paket terima kirim cepat banget packagingnya bagus banget aman produk cocok kulit istri senang banget thanks,"{'classified_text': 'paket terima kirim cepat [5] banget packagingnya bagus [5] banget aman [5] produk cocok [3] kulit istri senang [5] banget thanks', 'tweet_text': ' paket terima kirim cepat banget packagingnya bagus banget aman produk cocok kulit istri senang banget thanks', 'sentence_score': ['paket terima kirim cepat [5] banget packagingnya bagus [5] banget aman [5] produk cocok [3] kulit istri senang [5] banget thanks'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",paket terima kirim cepat [5] banget packagingnya bagus [5] banget aman [5] produk cocok [3] kulit istri senang [5] banget thanks, paket terima kirim cepat banget packagingnya bagus banget aman produk cocok kulit istri senang banget thanks,['paket terima kirim cepat [5] banget packagingnya bagus [5] banget aman [5] produk cocok [3] kulit istri senang [5] banget thanks'],5,-1,positif
tipe kulit minyak kirim cepat produk sesuai deskripsi terima kasih seller,"{'classified_text': 'tipe kulit minyak kirim cepat [4] produk sesuai [3] deskripsi terima kasih [4] seller', 'tweet_text': ' tipe kulit minyak kirim cepat produk sesuai deskripsi terima kasih seller', 'sentence_score': ['tipe kulit minyak kirim cepat [4] produk sesuai [3] deskripsi terima kasih [4] seller'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",tipe kulit minyak kirim cepat [4] produk sesuai [3] deskripsi terima kasih [4] seller, tipe kulit minyak kirim cepat produk sesuai deskripsi terima kasih seller,['tipe kulit minyak kirim cepat [4] produk sesuai [3] deskripsi terima kasih [4] seller'],4,-1,positif
barang sesuai moga cocok thanks seller tipe kulit kombinasi tipe kulit sensitif kulit jerawat kulit pori,"{'classified_text': 'barang sesuai [3] moga cocok [3] thanks seller tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat kulit pori', 'tweet_text': ' barang sesuai moga cocok thanks seller tipe kulit kombinasi tipe kulit sensitif kulit jerawat kulit pori', 'sentence_score': ['barang sesuai [3] moga cocok [3] thanks seller tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat kulit pori'], 'max_positive': 3, 'max_negative': -2, 'kelas': 'positif'}",barang sesuai [3] moga cocok [3] thanks seller tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat kulit pori, barang sesuai moga cocok thanks seller tipe kulit kombinasi tipe kulit sensitif kulit jerawat kulit pori,['barang sesuai [3] moga cocok [3] thanks seller tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat kulit pori'],3,-2,positif
tipe kulit kombinasi kulit pori kulit kerut,"{'classified_text': 'tipe kulit kombinasi kulit pori kulit kerut [-2]', 'tweet_text': ' tipe kulit kombinasi kulit pori kulit kerut', 'sentence_score': ['tipe kulit kombinasi kulit pori kulit kerut [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit kombinasi kulit pori kulit kerut [-2], tipe kulit kombinasi kulit pori kulit kerut,['tipe kulit kombinasi kulit pori kulit kerut [-2]'],1,-2,negatif
senang banget harga promo tulis bonus gift kasih gift eyelashes curler huhu thank you somethinc,"{'classified_text': 'senang [5] banget harga promo tulis bonus [3] gift kasih gift eyelashes curler huhu thank you somethinc', 'tweet_text': ' senang banget harga promo tulis bonus gift kasih gift eyelashes curler huhu thank you somethinc', 'sentence_score': ['senang [5] banget harga promo tulis bonus [3] gift kasih gift eyelashes curler huhu thank you somethinc'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",senang [5] banget harga promo tulis bonus [3] gift kasih gift eyelashes curler huhu thank you somethinc, senang banget harga promo tulis bonus gift kasih gift eyelashes curler huhu thank you somethinc,['senang [5] banget harga promo tulis bonus [3] gift kasih gift eyelashes curler huhu thank you somethinc'],5,-1,positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2], tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]'],1,-2,negatif
terima kasih,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4], terima kasih,['terima kasih [4]'],4,-1,positif
perfect shade,"{'classified_text': 'perfect shade', 'tweet_text': ' perfect shade', 'sentence_score': ['perfect shade'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",perfect shade, perfect shade,['perfect shade'],1,-1,netral
baik favorite,"{'classified_text': 'baik [4] favorite', 'tweet_text': ' baik favorite', 'sentence_score': ['baik [4] favorite'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",baik [4] favorite, baik favorite,['baik [4] favorite'],4,-1,positif
bagus banget minggu pakai bacne ku hilang purgingnya kayak bikin bacne mateng habis hilang dikit banget isi minggu habis pakenya kali ya,"{'classified_text': 'bagus [5] banget minggu pakai bacne ku hilang [-3] purgingnya kayak bikin bacne mateng habis hilang [-3] dikit banget isi minggu habis pakenya kali ya', 'tweet_text': ' bagus banget minggu pakai bacne ku hilang purgingnya kayak bikin bacne mateng habis hilang dikit banget isi minggu habis pakenya kali ya', 'sentence_score': ['bagus [5] banget minggu pakai bacne ku hilang [-3] purgingnya kayak bikin bacne mateng habis hilang [-3] dikit banget isi minggu habis pakenya kali ya'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",bagus [5] banget minggu pakai bacne ku hilang [-3] purgingnya kayak bikin bacne mateng habis hilang [-3] dikit banget isi minggu habis pakenya kali ya, bagus banget minggu pakai bacne ku hilang purgingnya kayak bikin bacne mateng habis hilang dikit banget isi minggu habis pakenya kali ya,['bagus [5] banget minggu pakai bacne ku hilang [-3] purgingnya kayak bikin bacne mateng habis hilang [-3] dikit banget isi minggu habis pakenya kali ya'],5,-3,positif
nice,"{'classified_text': 'nice', 'tweet_text': ' nice', 'sentence_score': ['nice'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",nice, nice,['nice'],1,-1,netral
tipe kulit kombinasi beli jar coba ver refilnya cocok banget kulit kering luka hitam tarik kulit pakai minggu sembuh bekas pudar,"{'classified_text': 'tipe kulit kombinasi beli jar coba ver refilnya cocok [4] banget kulit kering luka [-3] hitam tarik kulit pakai minggu sembuh bekas [-4] pudar', 'tweet_text': ' tipe kulit kombinasi beli jar coba ver refilnya cocok banget kulit kering luka hitam tarik kulit pakai minggu sembuh bekas pudar', 'sentence_score': ['tipe kulit kombinasi beli jar coba ver refilnya cocok [4] banget kulit kering luka [-3] hitam tarik kulit pakai minggu sembuh bekas [-4] pudar'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",tipe kulit kombinasi beli jar coba ver refilnya cocok [4] banget kulit kering luka [-3] hitam tarik kulit pakai minggu sembuh bekas [-4] pudar, tipe kulit kombinasi beli jar coba ver refilnya cocok banget kulit kering luka hitam tarik kulit pakai minggu sembuh bekas pudar,['tipe kulit kombinasi beli jar coba ver refilnya cocok [4] banget kulit kering luka [-3] hitam tarik kulit pakai minggu sembuh bekas [-4] pudar'],4,-4,netral
senang banget harga ribu,"{'classified_text': 'senang [5] banget harga ribu', 'tweet_text': ' senang banget harga ribu', 'sentence_score': ['senang [5] banget harga ribu'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",senang [5] banget harga ribu, senang banget harga ribu,['senang [5] banget harga ribu'],5,-1,positif
tipe kulit minyak kulit jerawat tipe kulit sensitif cocok cleansing somethinc keren terima kasih,"{'classified_text': 'tipe kulit minyak kulit jerawat tipe kulit sensitif [-2] cocok [3] cleansing somethinc keren [4] terima kasih [4]', 'tweet_text': ' tipe kulit minyak kulit jerawat tipe kulit sensitif cocok cleansing somethinc keren terima kasih', 'sentence_score': ['tipe kulit minyak kulit jerawat tipe kulit sensitif [-2] cocok [3] cleansing somethinc keren [4] terima kasih [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",tipe kulit minyak kulit jerawat tipe kulit sensitif [-2] cocok [3] cleansing somethinc keren [4] terima kasih [4], tipe kulit minyak kulit jerawat tipe kulit sensitif cocok cleansing somethinc keren terima kasih,['tipe kulit minyak kulit jerawat tipe kulit sensitif [-2] cocok [3] cleansing somethinc keren [4] terima kasih [4]'],4,-2,positif
tipe kulit minyak,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak, tipe kulit minyak,['tipe kulit minyak'],1,-1,netral
barang selamat beli bonus bonus ya,"{'classified_text': 'barang selamat [4] beli bonus [3] bonus [4] ya', 'tweet_text': ' barang selamat beli bonus bonus ya', 'sentence_score': ['barang selamat [4] beli bonus [3] bonus [4] ya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang selamat [4] beli bonus [3] bonus [4] ya, barang selamat beli bonus bonus ya,['barang selamat [4] beli bonus [3] bonus [4] ya'],4,-1,positif
tipe kulit normal,"{'classified_text': 'tipe kulit normal [-1]', 'tweet_text': ' tipe kulit normal', 'sentence_score': ['tipe kulit normal [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit normal [-1], tipe kulit normal,['tipe kulit normal [-1]'],1,-1,netral
cocok bagus muka ngurangin garis halus kerut,"{'classified_text': 'cocok [3] bagus [5] muka ngurangin garis halus [3] kerut [-2]', 'tweet_text': ' cocok bagus muka ngurangin garis halus kerut', 'sentence_score': ['cocok [3] bagus [5] muka ngurangin garis halus [3] kerut [-2]'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",cocok [3] bagus [5] muka ngurangin garis halus [3] kerut [-2], cocok bagus muka ngurangin garis halus kerut,['cocok [3] bagus [5] muka ngurangin garis halus [3] kerut [-2]'],5,-2,positif
mantap harga diskon terima kasih ya min,"{'classified_text': 'mantap [4] harga diskon terima kasih [4] ya min', 'tweet_text': ' mantap harga diskon terima kasih ya min', 'sentence_score': ['mantap [4] harga diskon terima kasih [4] ya min'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4] harga diskon terima kasih [4] ya min, mantap harga diskon terima kasih ya min,['mantap [4] harga diskon terima kasih [4] ya min'],4,-1,positif
tipe kulit normal tipe kulit sensitif,"{'classified_text': 'tipe kulit normal [-1] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit normal tipe kulit sensitif', 'sentence_score': ['tipe kulit normal [-1] tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit normal [-1] tipe kulit sensitif [-2], tipe kulit normal tipe kulit sensitif,['tipe kulit normal [-1] tipe kulit sensitif [-2]'],1,-2,negatif
moga cocok,"{'classified_text': 'moga cocok [3]', 'tweet_text': ' moga cocok', 'sentence_score': ['moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3], moga cocok,['moga cocok [3]'],3,-1,positif
kirim cepat bagus next order,"{'classified_text': 'kirim cepat [4] bagus [5] next order', 'tweet_text': ' kirim cepat bagus next order', 'sentence_score': ['kirim cepat [4] bagus [5] next order'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] bagus [5] next order, kirim cepat bagus next order,['kirim cepat [4] bagus [5] next order'],5,-1,positif
kulit jerawat tipe kulit sensitif cocok banget,"{'classified_text': 'kulit jerawat tipe kulit sensitif [-2] cocok [4] banget', 'tweet_text': ' kulit jerawat tipe kulit sensitif cocok banget', 'sentence_score': ['kulit jerawat tipe kulit sensitif [-2] cocok [4] banget'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",kulit jerawat tipe kulit sensitif [-2] cocok [4] banget, kulit jerawat tipe kulit sensitif cocok banget,['kulit jerawat tipe kulit sensitif [-2] cocok [4] banget'],4,-2,positif
pesan sesuai bocor,"{'classified_text': 'pesan sesuai [3] bocor [-3]', 'tweet_text': ' pesan sesuai bocor', 'sentence_score': ['pesan sesuai [3] bocor [-3]'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}",pesan sesuai [3] bocor [-3], pesan sesuai bocor,['pesan sesuai [3] bocor [-3]'],3,-3,netral
recomended thanks,"{'classified_text': 'recomended thanks', 'tweet_text': ' recomended thanks', 'sentence_score': ['recomended thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",recomended thanks, recomended thanks,['recomended thanks'],1,-1,netral
