review_tokens_stemmed,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
tekstur ringan kayak air cepat resap minim fragrance suka serum bikin gampang break out tipe kulit minyak kulit pori,"{'classified_text': 'tekstur ringan kayak air cepat [4] resap minim [-3] fragrance suka [4] serum bikin gampang break out tipe kulit minyak kulit pori', 'tweet_text': ' tekstur ringan kayak air cepat resap minim fragrance suka serum bikin gampang break out tipe kulit minyak kulit pori', 'sentence_score': ['tekstur ringan kayak air cepat [4] resap minim [-3] fragrance suka [4] serum bikin gampang break out tipe kulit minyak kulit pori'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",tekstur ringan kayak air cepat [4] resap minim [-3] fragrance suka [4] serum bikin gampang break out tipe kulit minyak kulit pori, tekstur ringan kayak air cepat resap minim fragrance suka serum bikin gampang break out tipe kulit minyak kulit pori,['tekstur ringan kayak air cepat [4] resap minim [-3] fragrance suka [4] serum bikin gampang break out tipe kulit minyak kulit pori'],4,-3,positif
kualitas oke banget ringan good coverage kalo keringetan putih muka,"{'classified_text': 'kualitas oke [4] banget ringan good coverage kalo keringetan putih muka', 'tweet_text': ' kualitas oke banget ringan good coverage kalo keringetan putih muka', 'sentence_score': ['kualitas oke [4] banget ringan good coverage kalo keringetan putih muka'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kualitas oke [4] banget ringan good coverage kalo keringetan putih muka, kualitas oke banget ringan good coverage kalo keringetan putih muka,['kualitas oke [4] banget ringan good coverage kalo keringetan putih muka'],4,-1,positif
kirim cepat barang sesuai lumayan harga flashsale packing oke banget bubble plus dus sip,"{'classified_text': 'kirim cepat [4] barang sesuai [3] lumayan [2] harga flashsale packing oke [4] banget bubble plus dus sip', 'tweet_text': ' kirim cepat barang sesuai lumayan harga flashsale packing oke banget bubble plus dus sip', 'sentence_score': ['kirim cepat [4] barang sesuai [3] lumayan [2] harga flashsale packing oke [4] banget bubble plus dus sip'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] barang sesuai [3] lumayan [2] harga flashsale packing oke [4] banget bubble plus dus sip, kirim cepat barang sesuai lumayan harga flashsale packing oke banget bubble plus dus sip,['kirim cepat [4] barang sesuai [3] lumayan [2] harga flashsale packing oke [4] banget bubble plus dus sip'],4,-1,positif
gampang patah pakai minggu habis,"{'classified_text': 'gampang patah pakai minggu habis', 'tweet_text': ' gampang patah pakai minggu habis', 'sentence_score': ['gampang patah pakai minggu habis'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",gampang patah pakai minggu habis, gampang patah pakai minggu habis,['gampang patah pakai minggu habis'],1,-1,netral
kirim banget jual tanggung beli kali kecewa,"{'classified_text': 'kirim banget jual tanggung beli kali kecewa [-4]', 'tweet_text': ' kirim banget jual tanggung beli kali kecewa', 'sentence_score': ['kirim banget jual tanggung beli kali kecewa [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",kirim banget jual tanggung beli kali kecewa [-4], kirim banget jual tanggung beli kali kecewa,['kirim banget jual tanggung beli kali kecewa [-4]'],1,-4,negatif
lasting minum hilang,"{'classified_text': 'lasting minum hilang [-3]', 'tweet_text': ' lasting minum hilang', 'sentence_score': ['lasting minum hilang [-3]'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",lasting minum hilang [-3], lasting minum hilang,['lasting minum hilang [-3]'],1,-3,negatif
wow,"{'classified_text': 'wow [4]', 'tweet_text': ' wow', 'sentence_score': ['wow [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",wow [4], wow,['wow [4]'],4,-1,positif
beli kali cocok oily,"{'classified_text': 'beli kali cocok [4] oily', 'tweet_text': ' beli kali cocok oily', 'sentence_score': ['beli kali cocok [4] oily'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",beli kali cocok [4] oily, beli kali cocok oily,['beli kali cocok [4] oily'],4,-1,positif
cepat ringan sesuai nama tinted sunscreen tutup merah coba shade nina kusam kuning coba shade butter pas,"{'classified_text': 'cepat [4] ringan sesuai [3] nama tinted sunscreen tutup merah coba shade nina kusam [-3] kuning coba shade butter pas', 'tweet_text': ' cepat ringan sesuai nama tinted sunscreen tutup merah coba shade nina kusam kuning coba shade butter pas', 'sentence_score': ['cepat [4] ringan sesuai [3] nama tinted sunscreen tutup merah coba shade nina kusam [-3] kuning coba shade butter pas'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",cepat [4] ringan sesuai [3] nama tinted sunscreen tutup merah coba shade nina kusam [-3] kuning coba shade butter pas, cepat ringan sesuai nama tinted sunscreen tutup merah coba shade nina kusam kuning coba shade butter pas,['cepat [4] ringan sesuai [3] nama tinted sunscreen tutup merah coba shade nina kusam [-3] kuning coba shade butter pas'],4,-3,positif
coba moga cocok recommended seller,"{'classified_text': 'coba moga cocok [3] recommended seller', 'tweet_text': ' coba moga cocok recommended seller', 'sentence_score': ['coba moga cocok [3] recommended seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3] recommended seller, coba moga cocok recommended seller,['coba moga cocok [3] recommended seller'],3,-1,positif
botol cocok kulit normal cenderung kering enak white cast tone up asa cemong kulit putih,"{'classified_text': 'botol cocok [3] kulit normal [-1] cenderung kering enak [4] white cast tone up asa cemong kulit putih', 'tweet_text': ' botol cocok kulit normal cenderung kering enak white cast tone up asa cemong kulit putih', 'sentence_score': ['botol cocok [3] kulit normal [-1] cenderung kering enak [4] white cast tone up asa cemong kulit putih'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",botol cocok [3] kulit normal [-1] cenderung kering enak [4] white cast tone up asa cemong kulit putih, botol cocok kulit normal cenderung kering enak white cast tone up asa cemong kulit putih,['botol cocok [3] kulit normal [-1] cenderung kering enak [4] white cast tone up asa cemong kulit putih'],4,-1,positif
recommended kulit minyak picu jerawat bruntusan,"{'classified_text': 'recommended kulit minyak picu jerawat bruntusan', 'tweet_text': ' recommended kulit minyak picu jerawat bruntusan', 'sentence_score': ['recommended kulit minyak picu jerawat bruntusan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",recommended kulit minyak picu jerawat bruntusan, recommended kulit minyak picu jerawat bruntusan,['recommended kulit minyak picu jerawat bruntusan'],1,-1,netral
kirim cepat packing aman beli rekomendasi teman moga cocok,"{'classified_text': 'kirim cepat [4] packing aman [4] beli rekomendasi teman moga cocok [3]', 'tweet_text': ' kirim cepat packing aman beli rekomendasi teman moga cocok', 'sentence_score': ['kirim cepat [4] packing aman [4] beli rekomendasi teman moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] packing aman [4] beli rekomendasi teman moga cocok [3], kirim cepat packing aman beli rekomendasi teman moga cocok,['kirim cepat [4] packing aman [4] beli rekomendasi teman moga cocok [3]'],4,-1,positif
coba moga cocok,"{'classified_text': 'coba moga cocok [3]', 'tweet_text': ' coba moga cocok', 'sentence_score': ['coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3], coba moga cocok,['coba moga cocok [3]'],3,-1,positif
maaf pakai bruntusan,"{'classified_text': 'maaf pakai bruntusan', 'tweet_text': ' maaf pakai bruntusan', 'sentence_score': ['maaf pakai bruntusan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",maaf pakai bruntusan, maaf pakai bruntusan,['maaf pakai bruntusan'],1,-1,netral
mohon maaf kali asih nilai overall belanja somethinc puas cuman kali paket bolong kayak dibolongin buble wrap nya item hilang salah satu kurir tanggung,"{'classified_text': 'mohon [1] maaf kali asih nilai [3] overall belanja somethinc puas [3] cuman kali paket bolong kayak dibolongin buble wrap nya item hilang [-3] salah [-5] satu [-1] kurir tanggung', 'tweet_text': ' mohon maaf kali asih nilai overall belanja somethinc puas cuman kali paket bolong kayak dibolongin buble wrap nya item hilang salah satu kurir tanggung', 'sentence_score': ['mohon [1] maaf kali asih nilai [3] overall belanja somethinc puas [3] cuman kali paket bolong kayak dibolongin buble wrap nya item hilang [-3] salah [-5] satu [-1] kurir tanggung'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}",mohon [1] maaf kali asih nilai [3] overall belanja somethinc puas [3] cuman kali paket bolong kayak dibolongin buble wrap nya item hilang [-3] salah [-5] satu [-1] kurir tanggung, mohon maaf kali asih nilai overall belanja somethinc puas cuman kali paket bolong kayak dibolongin buble wrap nya item hilang salah satu kurir tanggung,['mohon [1] maaf kali asih nilai [3] overall belanja somethinc puas [3] cuman kali paket bolong kayak dibolongin buble wrap nya item hilang [-3] salah [-5] satu [-1] kurir tanggung'],3,-3,netral
kirim cepat terima kasih kak,"{'classified_text': 'kirim cepat [4] terima kasih [4] kak', 'tweet_text': ' kirim cepat terima kasih kak', 'sentence_score': ['kirim cepat [4] terima kasih [4] kak'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] terima kasih [4] kak, kirim cepat terima kasih kak,['kirim cepat [4] terima kasih [4] kak'],4,-1,positif
baca review nya bagus mudah cocok terima kasih bonus pas banget pas butuh,"{'classified_text': 'baca review nya bagus [4] mudah [4] cocok [4] terima kasih [4] bonus [4] pas banget pas butuh', 'tweet_text': ' baca review nya bagus mudah cocok terima kasih bonus pas banget pas butuh', 'sentence_score': ['baca review nya bagus [4] mudah [4] cocok [4] terima kasih [4] bonus [4] pas banget pas butuh'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",baca review nya bagus [4] mudah [4] cocok [4] terima kasih [4] bonus [4] pas banget pas butuh, baca review nya bagus mudah cocok terima kasih bonus pas banget pas butuh,['baca review nya bagus [4] mudah [4] cocok [4] terima kasih [4] bonus [4] pas banget pas butuh'],4,-1,positif
proses gilir cancel langsung dkirim,"{'classified_text': 'proses gilir cancel langsung dkirim', 'tweet_text': ' proses gilir cancel langsung dkirim', 'sentence_score': ['proses gilir cancel langsung dkirim'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",proses gilir cancel langsung dkirim, proses gilir cancel langsung dkirim,['proses gilir cancel langsung dkirim'],1,-1,netral
bagus benar kipas mini super lucu semiga cocok acne hempas,"{'classified_text': 'bagus [4] benar [5] kipas mini super [4] lucu [5] semiga cocok [3] acne hempas', 'tweet_text': ' bagus benar kipas mini super lucu semiga cocok acne hempas', 'sentence_score': ['bagus [4] benar [5] kipas mini super [4] lucu [5] semiga cocok [3] acne hempas'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] benar [5] kipas mini super [4] lucu [5] semiga cocok [3] acne hempas, bagus benar kipas mini super lucu semiga cocok acne hempas,['bagus [4] benar [5] kipas mini super [4] lucu [5] semiga cocok [3] acne hempas'],5,-1,positif
cocok banget repurchase packing aman rapi banget exp nya ada diskon ya biar checkout produk samtink hahahha,"{'classified_text': 'cocok [4] banget repurchase packing aman [4] rapi [6] banget exp nya ada diskon ya biar checkout produk samtink hahahha', 'tweet_text': ' cocok banget repurchase packing aman rapi banget exp nya ada diskon ya biar checkout produk samtink hahahha', 'sentence_score': ['cocok [4] banget repurchase packing aman [4] rapi [6] banget exp nya ada diskon ya biar checkout produk samtink hahahha'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}",cocok [4] banget repurchase packing aman [4] rapi [6] banget exp nya ada diskon ya biar checkout produk samtink hahahha, cocok banget repurchase packing aman rapi banget exp nya ada diskon ya biar checkout produk samtink hahahha,['cocok [4] banget repurchase packing aman [4] rapi [6] banget exp nya ada diskon ya biar checkout produk samtink hahahha'],6,-1,positif
kosong confirmasi kirim uang barang pakai,"{'classified_text': 'kosong confirmasi kirim uang barang pakai', 'tweet_text': ' kosong confirmasi kirim uang barang pakai', 'sentence_score': ['kosong confirmasi kirim uang barang pakai'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kosong confirmasi kirim uang barang pakai, kosong confirmasi kirim uang barang pakai,['kosong confirmasi kirim uang barang pakai'],1,-1,netral
hancur,"{'classified_text': 'hancur [-4]', 'tweet_text': ' hancur', 'sentence_score': ['hancur [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",hancur [-4], hancur,['hancur [-4]'],1,-4,negatif
kirim beli tanggal okt jam pagi proses tanggal malam kirim tanggal okt tegor berkalikali cancel kirim tanggal barang tanggal okt kapokkk beli kapok banget,"{'classified_text': 'kirim beli tanggal okt jam pagi proses tanggal malam kirim tanggal okt tegor berkalikali cancel kirim tanggal barang tanggal okt kapok beli kapok banget', 'tweet_text': ' kirim beli tanggal okt jam pagi proses tanggal malam kirim tanggal okt tegor berkalikali cancel kirim tanggal barang tanggal okt kapok beli kapok banget', 'sentence_score': ['kirim beli tanggal okt jam pagi proses tanggal malam kirim tanggal okt tegor berkalikali cancel kirim tanggal barang tanggal okt kapok beli kapok banget'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kirim beli tanggal okt jam pagi proses tanggal malam kirim tanggal okt tegor berkalikali cancel kirim tanggal barang tanggal okt kapok beli kapok banget, kirim beli tanggal okt jam pagi proses tanggal malam kirim tanggal okt tegor berkalikali cancel kirim tanggal barang tanggal okt kapok beli kapok banget,['kirim beli tanggal okt jam pagi proses tanggal malam kirim tanggal okt tegor berkalikali cancel kirim tanggal barang tanggal okt kapok beli kapok banget'],1,-1,netral
barang bagus sesuai ekspektasi,"{'classified_text': 'barang bagus [4] sesuai [4] ekspektasi', 'tweet_text': ' barang bagus sesuai ekspektasi', 'sentence_score': ['barang bagus [4] sesuai [4] ekspektasi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang bagus [4] sesuai [4] ekspektasi, barang bagus sesuai ekspektasi,['barang bagus [4] sesuai [4] ekspektasi'],4,-1,positif
suka banget cushionnya beli refillnya,"{'classified_text': 'suka [5] banget cushionnya beli refillnya', 'tweet_text': ' suka banget cushionnya beli refillnya', 'sentence_score': ['suka [5] banget cushionnya beli refillnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",suka [5] banget cushionnya beli refillnya, suka banget cushionnya beli refillnya,['suka [5] banget cushionnya beli refillnya'],5,-1,positif
kirim lumayan packing rapi aman produk mantap jerawat punggung langsung kering,"{'classified_text': 'kirim lumayan [2] packing rapi [4] aman [5] produk mantap [4] jerawat punggung langsung kering', 'tweet_text': ' kirim lumayan packing rapi aman produk mantap jerawat punggung langsung kering', 'sentence_score': ['kirim lumayan [2] packing rapi [4] aman [5] produk mantap [4] jerawat punggung langsung kering'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim lumayan [2] packing rapi [4] aman [5] produk mantap [4] jerawat punggung langsung kering, kirim lumayan packing rapi aman produk mantap jerawat punggung langsung kering,['kirim lumayan [2] packing rapi [4] aman [5] produk mantap [4] jerawat punggung langsung kering'],5,-1,positif
mantap harga diskon terima kasih ya min,"{'classified_text': 'mantap [4] harga diskon terima kasih [4] ya min', 'tweet_text': ' mantap harga diskon terima kasih ya min', 'sentence_score': ['mantap [4] harga diskon terima kasih [4] ya min'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4] harga diskon terima kasih [4] ya min, mantap harga diskon terima kasih ya min,['mantap [4] harga diskon terima kasih [4] ya min'],4,-1,positif
pakai,"{'classified_text': 'pakai', 'tweet_text': ' pakai', 'sentence_score': ['pakai'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",pakai, pakai,['pakai'],1,-1,netral
tipe kulit kombinasi kulit pori kulit kerut,"{'classified_text': 'tipe kulit kombinasi kulit pori kulit kerut [-2]', 'tweet_text': ' tipe kulit kombinasi kulit pori kulit kerut', 'sentence_score': ['tipe kulit kombinasi kulit pori kulit kerut [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit kombinasi kulit pori kulit kerut [-2], tipe kulit kombinasi kulit pori kulit kerut,['tipe kulit kombinasi kulit pori kulit kerut [-2]'],1,-2,negatif
suka teksturny bau enak tekstur kayak alu padat banget wangi kopi kayak bau basi,"{'classified_text': 'suka [4] teksturny bau [-4] enak [4] tekstur kayak alu padat [2] banget wangi kopi kayak bau [-4] basi [-5]', 'tweet_text': ' suka teksturny bau enak tekstur kayak alu padat banget wangi kopi kayak bau basi', 'sentence_score': ['suka [4] teksturny bau [-4] enak [4] tekstur kayak alu padat [2] banget wangi kopi kayak bau [-4] basi [-5]'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",suka [4] teksturny bau [-4] enak [4] tekstur kayak alu padat [2] banget wangi kopi kayak bau [-4] basi [-5], suka teksturny bau enak tekstur kayak alu padat banget wangi kopi kayak bau basi,['suka [4] teksturny bau [-4] enak [4] tekstur kayak alu padat [2] banget wangi kopi kayak bau [-4] basi [-5]'],4,-5,negatif
tipe kulit sensitif,"{'classified_text': 'tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit sensitif', 'sentence_score': ['tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit sensitif [-2], tipe kulit sensitif,['tipe kulit sensitif [-2]'],1,-2,negatif
spatula bantu banget aplikasi pelembab cantik banget,"{'classified_text': 'spatula bantu banget aplikasi pelembab cantik [6] banget', 'tweet_text': ' spatula bantu banget aplikasi pelembab cantik banget', 'sentence_score': ['spatula bantu banget aplikasi pelembab cantik [6] banget'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}",spatula bantu banget aplikasi pelembab cantik [6] banget, spatula bantu banget aplikasi pelembab cantik banget,['spatula bantu banget aplikasi pelembab cantik [6] banget'],6,-1,positif
jerawat,"{'classified_text': 'jerawat', 'tweet_text': ' jerawat', 'sentence_score': ['jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",jerawat, jerawat,['jerawat'],1,-1,netral
hore fitur ambil ribet ribet ganti alamat raja ampat,"{'classified_text': 'hore [4] fitur ambil ribet ribet ganti alamat raja ampat', 'tweet_text': ' hore fitur ambil ribet ribet ganti alamat raja ampat', 'sentence_score': ['hore [4] fitur ambil ribet ribet ganti alamat raja ampat'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",hore [4] fitur ambil ribet ribet ganti alamat raja ampat, hore fitur ambil ribet ribet ganti alamat raja ampat,['hore [4] fitur ambil ribet ribet ganti alamat raja ampat'],4,-1,positif
suka detail,"{'classified_text': 'suka [4] detail', 'tweet_text': ' suka detail', 'sentence_score': ['suka [4] detail'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",suka [4] detail, suka detail,['suka [4] detail'],4,-1,positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif kulit jerawat,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif kulit jerawat', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat, tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif kulit jerawat,['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] kulit jerawat'],1,-2,negatif
kecewa banget beli pakai voucher pas barang vouchernya apply banget kemarin vouchernya kecantol hilang kapok,"{'classified_text': 'kecewa [-4] banget beli pakai voucher pas barang vouchernya apply banget kemarin vouchernya kecantol hilang [-3] kapok', 'tweet_text': ' kecewa banget beli pakai voucher pas barang vouchernya apply banget kemarin vouchernya kecantol hilang kapok', 'sentence_score': ['kecewa [-4] banget beli pakai voucher pas barang vouchernya apply banget kemarin vouchernya kecantol hilang [-3] kapok'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",kecewa [-4] banget beli pakai voucher pas barang vouchernya apply banget kemarin vouchernya kecantol hilang [-3] kapok, kecewa banget beli pakai voucher pas barang vouchernya apply banget kemarin vouchernya kecantol hilang kapok,['kecewa [-4] banget beli pakai voucher pas barang vouchernya apply banget kemarin vouchernya kecantol hilang [-3] kapok'],1,-4,negatif
bagus banget weh sat set pagi super keringetan awet malam transfer heboh,"{'classified_text': 'bagus [5] banget weh sat set pagi super [4] keringetan awet malam transfer heboh [2]', 'tweet_text': ' bagus banget weh sat set pagi super keringetan awet malam transfer heboh', 'sentence_score': ['bagus [5] banget weh sat set pagi super [4] keringetan awet malam transfer heboh [2]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [5] banget weh sat set pagi super [4] keringetan awet malam transfer heboh [2], bagus banget weh sat set pagi super keringetan awet malam transfer heboh,['bagus [5] banget weh sat set pagi super [4] keringetan awet malam transfer heboh [2]'],5,-1,positif
bagus warna pas coverage ok,"{'classified_text': 'bagus [4] warna pas coverage ok [1]', 'tweet_text': ' bagus warna pas coverage ok', 'sentence_score': ['bagus [4] warna pas coverage ok [1]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] warna pas coverage ok [1], bagus warna pas coverage ok,['bagus [4] warna pas coverage ok [1]'],4,-1,positif
bagus banget terima kasih kak,"{'classified_text': 'bagus [5] banget terima kasih [4] kak', 'tweet_text': ' bagus banget terima kasih kak', 'sentence_score': ['bagus [5] banget terima kasih [4] kak'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [5] banget terima kasih [4] kak, bagus banget terima kasih kak,['bagus [5] banget terima kasih [4] kak'],5,-1,positif
